Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Red,Green,Blue,Label
15725.66774,9898.815951,12777.1974,35221.23559,118.4756219,74.30988444,129.52223,100
15698.79749,10004.04658,12611.02565,31550.09695,108.9557521,66.37502513,118.8900132,104
13929.74908,8774.571069,11489.92653,31823.07774,91.58567007,54.39818902,104.5659741,108
12623.95357,7967.389673,10504.56408,29137.71473,72.90461089,40.25200343,85.70663244,112
12037.50167,7645.37051,9601.951671,26705.38446,56.40658516,28.97910052,68.77178652,116
14917.01842,9436.509061,11991.92782,33679.95271,106.5425546,66.03868545,114.1525674,120
14635.12728,9192.567803,11908.81708,33264.14284,102.6857442,61.76770567,112.1498852,124
14079.60301,8827.241966,11522.82772,32171.11956,94.61331823,55.43323033,105.3705726,128
13367.3997,8408.238853,10965.61483,30471.60253,83.82919472,48.04821082,95.00034996,132
12697.55137,7727.277575,10080.10824,27835.24934,65.92783669,34.86093708,77.40148074,136
11114.53228,7110.556768,9230.558675,25891.83783,50.12511976,25.20352237,61.49038684,140
14424.20692,9171.492435,11617.66435,32532.09665,99.57191179,61.25515726,106.5316126,144
14001.68176,8677.504805,11297.64086,31293.26155,93.10169528,52.75725663,101.1163522,148
14008.86442,8938.628245,11332.51227,31624.374,92.94842626,57.4221177,101.5393795,152
12528.57255,7899.211339,10246.56653,25823.6542,71.76969603,39.08486913,82.2492126,156
11809.12104,7505.852614,9815.03331,27268.09095,60.87963953,32.08843973,72.37450257,160
10793.14317,6991.937786,8951.981588,25159.84447,45.40271108,23.17286362,56.51683831,164
13596.23989,8640.676305,10896.12374,30733.15797,87.46793884,51.84927252,93.04024982,168
13817.42508,8780.307364,11199.42855,31336.57772,90.50037811,54.26935754,99.03213302,172
13600.65894,8716.230713,11079.16147,31236.21247,86.74117738,53.39223853,97.02403668,176
12866.73631,8344.612577,10570.08226,29800.943,76.26843513,46.69467265,86.77750631,180
11489.35961,7441.124935,9495.790377,26790.41332,55.93963414,31.00901832,66.85174727,184
10486.63897,6834.695689,8553.223738,24272.91846,40.88477267,20.39837345,48.83207722,188
13801.62852,9064.019653,10952.34533,31736.45597,89.78363671,59.5394636,94.55320814,192
13874.23054,8997.042447,11189.47875,31921.13316,91.35111265,58.33574728,98.57767536,196
13470.2058,8801.460311,10858.75355,30760.81205,85.07701912,54.99111544,92.73820572,200
24566.173039429472,20136.094948137834,19572.551825432423,31194.287454903573,251.60068792259327,254.24557620331734,255.0,0.0
24341.57418277515,19297.811514300218,19431.897602465186,30588.609502002462,247.61626880834902,239.65717121757265,254.86148834944387,4.0
22491.16428612785,17449.96484049655,18131.07730653832,27962.447849397948,219.0834728064188,206.09613613388856,230.6891052468265,8.0
20643.72845913743,15766.574420192832,16832.965371128605,25750.592743316396,192.6190194330813,177.12053840000553,206.30027283647792,12.0
18225.834260789947,13574.376067130934,14990.094468563027,22490.221406707617,156.06908848168626,138.8738763171031,170.84096409693544,16.0
16470.319940933674,12198.584419382762,13622.102865573519,20319.305146942115,129.4609768245249,114.3528577636196,144.1963731831157,20.0
20798.050204937852,15009.402574582418,16695.351429220522,25218.244747019467,193.64036022693946,163.40217592968594,203.83215372034394,24.0
21001.789019718137,15026.39947415575,17009.17701469761,25331.68723629597,197.41029190713905,164.84095910514407,209.48032443644442,28.0
19457.013284223278,13701.301540206201,16002.369266109268,23535.36861042814,174.89885597238123,141.0018977502344,189.45842411136806,32.0
18049.133868650963,12675.82391390771,14908.895914146846,21754.72278359488,153.08918214022614,122.13250587026614,169.5543100405527,36.0
16154.960117672448,11137.446026604508,13462.533393862901,19553.856272478602,125.08023631054111,96.22318784946553,141.9811313960381,40.0
14380.970503421026,9898.290777565264,12006.187683565136,33885.89929135641,98.74820015268786,74.33590139225319,114.2556657629101,44.0
18468.259671971256,12391.086016539735,14829.843152737498,21709.27004285901,158.96668421212917,117.89584055498251,168.3341957979243,48.0
18686.46244214392,12603.990953620054,15302.842338769735,22243.98220154738,163.98422413907616,121.53183333939498,176.54933791556132,52.0
17641.10095997205,11707.97910467579,14492.670144978183,20934.770708994747,147.04438574797132,105.61218475510752,160.96513416367947,56.0
15896.217295906847,10405.665935157162,13093.209465540547,31677.82769951398,121.22154195506714,83.09716326786003,134.71282106180237,60.0
14398.148996827833,9406.722705725539,12002.041116840392,33358.72051531395,99.29963390120705,65.58577227727338,114.06970141147285,64.0
12969.860766665428,8499.921950485663,10851.650210147125,30318.37787417284,77.70515534451587,49.52694495790995,92.68392973166277,68.0
16597.339128294618,10759.212766805787,13421.135886816977,19316.691795078623,131.61010724305683,89.22808388772573,140.92296299742424,72.0
16843.447343498352,10880.146635220906,13835.078679484295,19701.48460603166,135.4644606941766,91.56896619817996,148.91451117005457,76.0
15965.115982049076,10249.901315583118,13171.043222324817,32737.070163958153,121.86993547626057,80.59468643628432,136.83723102062623,80.0
14891.980430396297,9594.574535256972,12402.952953520806,31624.6412970602,106.09336625520245,68.84880807649591,121.71813053831667,84.0
13351.742305782222,8555.547294267863,11152.949036693888,31024.566168348083,83.86649267173848,50.65289073737866,97.8715216681555,88.0
12104.164331706374,7803.098247264941,10124.046752674834,28184.84869260046,65.08640012680551,37.37072878103363,78.67849658988924,92.0
16099.232198257512,10322.705452687735,13041.360085207101,31991.45760116119,124.35774241697206,81.73950957347446,133.24450735854612,96.0
15803.488126155737,10049.581927020681,12882.745520655608,31494.994765592233,120.05530383214534,77.01092852900268,131.0330496889042,100.0
14751.02250982369,9306.23044570265,12246.00047634658,33715.860324684894,104.01735895256127,63.477742522951516,118.578314160113,104.0
13590.243098802439,8568.627804506905,11197.71121968811,30944.05399421216,86.5855106105638,50.850370829655674,99.11784732611663,108.0
12147.513743691025,7598.679338734811,10092.875822221644,27693.944643635507,65.18639738175261,33.821272639672586,77.96524988224876,112.0
11470.151845103259,7336.110009423692,9592.685602466434,26553.84688353906,55.256825485125376,29.162278939929877,68.34688861175815,116.0
14853.924015493754,9507.437292981724,12016.134286256469,30372.682650525123,105.75956962604127,67.31655072740114,114.20429572718994,120.0
14724.195916376319,9274.754859395063,11965.987386434657,33056.3784327928,103.15312558281241,63.38111420569967,113.62930294725311,124.0
13792.25269341821,8705.165999855957,11296.961903995016,31554.579116434423,90.11418379632146,53.18632643684431,101.08942513323987,128.0
12596.96328218108,7835.233308720444,10374.491673842907,28489.038522956303,72.04292980396187,37.85502186915454,83.47207636775076,132.0
11569.113899333905,7262.769017839832,9616.928669292483,26474.31756426658,56.83346219358792,27.850690721705945,68.9420768030881,136.0
10779.921634187484,6966.358390270694,9011.794118190099,25198.29199898481,45.66332893081968,22.702814443289174,57.50396048124894,140.0
14235.994662656312,9128.602257317103,11491.718174511516,32380.001919860417,96.8193093881601,60.64501653429564,104.74631745005993,144.0
13966.796989877952,8811.005711730779,11296.578554897433,31509.140320767772,91.91251449133132,55.2264934966808,100.8288758240923,148.0
13114.808526541407,8328.534246368563,10729.643690072122,30020.859829993155,79.69711303852793,46.580460274774325,90.2831253334301,152.0
11953.071778459504,7487.767053198382,9738.960500899386,27155.38925731909,62.64199003253741,31.840198784665894,71.76579536034262,156.0
11208.92684898571,7099.824190329408,9289.224203240276,25854.262759485213,51.52073376831481,24.918999679966547,62.911109078259884,160.0
10278.334722521122,6542.824325939092,8473.03569406147,23533.59462589396,37.51251155499144,15.244114667357263,47.289533787164984,164.0
13311.962477554702,8436.257391816487,10644.628699466062,30074.897480187803,82.29495697817757,48.499116871848955,87.85006860401342,168.0
13489.32036409579,8632.596398930178,10988.424281139683,30886.162187918777,85.64231576455607,51.93696459046934,95.23164950770965,172.0
12811.050341836246,8177.5347238262675,10414.560826797673,29301.47754455546,75.4122541837045,44.11168915043926,84.2443807407213,176.0
12351.140139323908,7952.6314752107255,10158.480734729483,27395.3059456883,69.44378690156955,40.69229543942568,79.65096389316145,180.0
